----------------------------------------------------------
-- This is the Insert Script for the Parking_Type Table --
----------------------------------------------------------
insert into PARKING_TYPE (PARKING_TYPE_ID, TYPE) values ('PT001', 'No Parking');
insert into PARKING_TYPE (PARKING_TYPE_ID, TYPE) values ('PT002', 'Street Parking');
insert into PARKING_TYPE (PARKING_TYPE_ID, TYPE) values ('PT003', 'Garage Parking');
insert into PARKING_TYPE (PARKING_TYPE_ID, TYPE) values ('PT004', 'Parking Lot');
insert into PARKING_TYPE (PARKING_TYPE_ID, TYPE) values ('PT005', 'Parking Ramp');
insert into PARKING_TYPE (PARKING_TYPE_ID, TYPE) values ('PT006', 'Metered Parking');
insert into PARKING_TYPE (PARKING_TYPE_ID, TYPE) values ('PT007', 'Valet Parking');
insert into PARKING_TYPE (PARKING_TYPE_ID, TYPE) values ('PT008', 'Fringe Parking');

-----------------------------------------------------------
-- This is the Insert Script for the Private_Owner Table --
-----------------------------------------------------------
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('1', 'Alanah', 'Hamlington', '2 Loeprich Road', 'Savannah', 'GA', '31405', '9123375945');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('117', 'Whitney', 'Guyot', '2090 Aberg Court', 'Indianapolis', 'IN', '46216', '3179449399');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('118', 'Adrian', 'Canape', '14 Petterle Parkway', 'Boise', 'ID', '83757', '2084859256');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('119', 'Sindee', 'Lowings', '20259 Vidon Junction', 'Raleigh', 'NC', '27626', '9198346131');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('120', 'Isaak', 'Fransewich', '615 Park Meadow Circle', 'Newark', 'DE', '19714', '3021677898');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('121', 'Glad', 'Brushfield', '863 Kenwood Parkway', 'Seattle', 'WA', '98148', '2536023485');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('122', 'Rodger', 'Peatheyjohns', '20 Bunting Center', 'San Bernardino', 'CA', '92415', '7602881717');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('123', 'Danila', 'Vick', '7059 Farragut Crossing', 'Washington', 'DC', '20530', '2028123627');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('124', 'Celinda', 'Lyston', '8 Village Trail', 'Sunnyvale', 'CA', '94089', '4085881151');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('125', 'Lotta', 'Pimer', '74859 Melvin Center', 'Albany', 'NY', '12227', '5185656909');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('126', 'Sammy', 'Slaney', '8 Summer Ridge Trail', 'Muskegon', 'MI', '49444', '2319339384');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('127', 'Chic', 'Semrad', '6525 Amoth Point', 'Hicksville', 'NY', '11854', '5164213351');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('128', 'Helsa', 'Toffaloni', '670 Eliot Plaza', 'New Haven', 'CT', '06510', '2035930554');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('129', 'Francisco', 'Helliar', '7 Melvin Plaza', 'Richmond', 'VA', '23203', '8041809173');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('130', 'Bellina', 'McIvor', '9136 Welch Lane', 'Los Angeles', 'CA', '90020', '3101121120');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('131', 'Cordelie', 'Benwell', '87665 Johnson Street', 'Bronx', 'NY', '10469', '3472598136');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('132', 'Gwenora', 'Lyokhin', '4885 Loomis Circle', 'Reston', 'VA', '20195', '7033351780');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('133', 'Blair', 'MacBain', '04844 Chinook Drive', 'Trenton', 'NJ', '08608', '6097766047');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('134', 'Deeanne', 'Mawd', '899 Hoepker Circle', 'Baltimore', 'MD', '21290', '4105587581');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('135', 'Ebonee', 'Savile', '68896 Paget Street', 'Cincinnati', 'OH', '45218', '5133898483');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('136', 'Gwynne', 'Bolton', '2 Cordelia Point', 'Humble', 'TX', '77346', '7134170794');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('137', 'Audry', 'Storror', '47461 Pepper Wood Center', 'Charleston', 'SC', '29424', '8433121923');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('138', 'Julietta', 'Friar', '1 Anderson Parkway', 'Garland', 'TX', '75044', '9721182121');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('139', 'Joice', 'Chastelain', '6753 Pepper Wood Center', 'Minneapolis', 'MN', '55417', '6514212073');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('140', 'Gonzalo', 'Marsay', '6728 North Court', 'Sacramento', 'CA', '94207', '9168071162');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('141', 'Sigismond', 'Leaver', '48 Loomis Court', 'Salem', 'OR', '97312', '9719049525');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('142', 'Wini', 'Giannazzo', '248 Hauk Center', 'New York City', 'NY', '10034', '6469371917');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('143', 'Concettina', 'Winterbourne', '2 Chinook Avenue', 'San Jose', 'CA', '95160', '4088077802');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('144', 'Bowie', 'Thicking', '7 Reindahl Pass', 'Chicago', 'IL', '60646', '3124928582');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('145', 'Brenda', 'Elger', '72148 Green Ridge Way', 'Scottsdale', 'AZ', '85255', '4805432319');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('146', 'Ferd', 'Dabourne', '10822 Melrose Way', 'South Bend', 'IN', '46614', '5748114649');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('147', 'Jarrad', 'Hurche', '2 Portage Point', 'Scottsdale', 'AZ', '85271', '4804346007');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('148', 'Ardyth', 'O''Hickey', '03826 Express Center', 'Cleveland', 'OH', '44191', '2168286261');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('149', 'Roxana', 'Palmar', '09 Anderson Center', 'Honolulu', 'HI', '96840', '8085990994');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('150', 'Claudell', 'Rosso', '67570 Redwing Street', 'Worcester', 'MA', '01610', '7741381224');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('151', 'Jacquetta', 'Leahy', '399 Eagle Crest Street', 'Lafayette', 'LA', '70593', '3377391913');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('152', 'Erena', 'Dunmuir', '08968 Meadow Vale Pass', 'Sacramento', 'CA', '94230', '9166773067');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('153', 'Janine', 'Heckney', '6936 Clove Park', 'Atlanta', 'GA', '30343', '4046311367');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('154', 'Briant', 'Geffinger', '837 Talisman Road', 'Houston', 'TX', '77288', '7132993419');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('155', 'Kiele', 'Alban', '1 Onsgard Way', 'Charlottesville', 'VA', '22903', '4342525362');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('156', 'Edouard', 'Underdown', '5024 Declaration Drive', 'Laredo', 'TX', '78044', '9565180406');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('157', 'Freddy', 'Hovington', '4167 Donald Crossing', 'Cincinnati', 'OH', '45208', '5133971417');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('158', 'Lishe', 'Dietsche', '005 Aberg Drive', 'Bowie', 'MD', '20719', '2407108493');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('159', 'Penelope', 'Thomelin', '0613 Judy Junction', 'Washington', 'DC', '20430', '2021072479');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('160', 'Raimund', 'Rosenblum', '33 Talmadge Place', 'Los Angeles', 'CA', '90060', '3239061788');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('161', 'Bobbie', 'Chelsom', '0 Monument Point', 'Portsmouth', 'NH', '00214', '6036037098');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('162', 'Petunia', 'Loveguard', '1393 Nova Trail', 'Inglewood', 'CA', '90398', '3109033682');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('163', 'Ichabod', 'Annott', '338 Milwaukee Road', 'Norwalk', 'CT', '06859', '2035072724');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('164', 'Margie', 'Helliker', '97 Hoepker Lane', 'Kansas City', 'KS', '66160', '9138509732');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('165', 'Emogene', 'Girhard', '012 Marcy Plaza', 'White Plains', 'NY', '10633', '8456205492');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('166', 'Mufinella', 'Punchard', '97 Superior Point', 'Columbus', 'MS', '39705', '6622102649');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('167', 'Boigie', 'Lefeaver', '8342 Erie Drive', 'Tacoma', 'WA', '98481', '2532783796');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('168', 'Carolynn', 'Kroon', '9683 Lighthouse Bay Alley', 'Kansas City', 'MO', '64130', '8161543676');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('169', 'Yetta', 'Habens', '4 Marquette Crossing', 'San Antonio', 'TX', '78220', '2106983877');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('170', 'Alwin', 'Appleford', '9 Schmedeman Parkway', 'Baltimore', 'MD', '21265', '4103183344');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('171', 'Magdalene', 'Ornillos', '273 Eliot Lane', 'Columbus', 'OH', '43204', '6147418730');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('172', 'Kippie', 'Bosenworth', '4090 Corry Avenue', 'Anaheim', 'CA', '92805', '3102662274');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('173', 'Callida', 'Ryam', '85 Kipling Lane', 'Schenectady', 'NY', '12305', '5183791987');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('174', 'Phyllys', 'Sibly', '033 Thackeray Center', 'Humble', 'TX', '77346', '2818531685');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('175', 'Hubey', 'Waycott', '10 Jackson Alley', 'Topeka', 'KS', '66667', '7858384909');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('176', 'Aguistin', 'Sperwell', '5 Florence Trail', 'Philadelphia', 'PA', '19104', '2674163141');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('177', 'Hussein', 'Dominelli', '070 Sycamore Junction', 'Oklahoma City', 'OK', '73104', '4052563943');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('178', 'Ethelin', 'Bengoechea', '4974 Bluestem Lane', 'Springfield', 'MO', '65898', '4175176998');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('179', 'Orion', 'Fredson', '4660 Morningstar Avenue', 'Riverside', 'CA', '92505', '9098754299');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('180', 'Ezri', 'Aliberti', '87735 Grim Park', 'Gainesville', 'GA', '30506', '7702041041');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('181', 'Reta', 'Paffitt', '90284 Jackson Crossing', 'Berkeley', 'CA', '94705', '5109137106');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('182', 'Gerardo', 'Bruniges', '48 Dottie Point', 'Fairfield', 'CT', '06825', '2035751147');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('183', 'Tim', 'Lorente', '5 Killdeer Junction', 'Waterbury', 'CT', '06705', '2037542939');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('184', 'Iorgo', 'Dinesen', '0471 Eastwood Plaza', 'Gary', 'IN', '46406', '2191851635');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('185', 'Mercy', 'Setterfield', '8139 Eggendart Plaza', 'Garland', 'TX', '75044', '9722039976');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('186', 'Thibaut', 'Leaton', '22535 Buhler Crossing', 'Inglewood', 'CA', '90305', '3231325616');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('187', 'Aggi', 'Edwardes', '81959 Cascade Pass', 'Bowie', 'MD', '20719', '2401981738');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('188', 'Louise', 'St. Paul', '799 Red Cloud Junction', 'Pittsburgh', 'PA', '15205', '7245296690');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('189', 'Lawry', 'Fernanando', '18 Colorado Circle', 'Los Angeles', 'CA', '90060', '3236746207');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('190', 'Kerianne', 'Ketley', '5 Lotheville Parkway', 'York', 'PA', '17405', '7172584597');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('191', 'Ram', 'Trump', '0775 Bluejay Avenue', 'Winter Haven', 'FL', '33884', '8633906544');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('192', 'Nero', 'Levermore', '777 Stephen Avenue', 'Los Angeles', 'CA', '90050', '2136069256');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('193', 'Thibaud', 'Fayerbrother', '2 Westend Hill', 'Washington', 'DC', '20414', '2022060027');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('194', 'Massimiliano', 'Buntain', '8 Riverside Street', 'Norfolk', 'VA', '23509', '7573090106');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('195', 'Philis', 'Gitting', '67 Hanson Parkway', 'Washington', 'DC', '20205', '2025252615');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('196', 'Paton', 'La Croce', '77983 West Lane', 'Arlington', 'VA', '22212', '5715754969');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('197', 'Ava', 'Renbold', '52 Acker Park', 'Hollywood', 'FL', '33028', '3058204859');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('198', 'Hurleigh', 'Twist', '12471 Rieder Lane', 'Sacramento', 'CA', '94280', '9168984766');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('199', 'Anet', 'Lorens', '042 Havey Parkway', 'Oakland', 'CA', '94611', '4153255749');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('200', 'Edwin', 'Hemms', '1381 Myrtle Alley', 'Saint Paul', 'MN', '55108', '6518572800');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('201', 'Kristopher', 'Killby', '9 Mosinee Plaza', 'Huntington', 'WV', '25775', '3042173318');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('202', 'Trisha', 'Czadla', '5309 Utah Point', 'Roanoke', 'VA', '24014', '5408897745');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('203', 'Johanna', 'Christoffe', '574 Troy Hill', 'Tucson', 'AZ', '85710', '5206842842');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('204', 'Denice', 'Pear', '52 Luster Way', 'Hartford', 'CT', '06140', '8603250556');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('205', 'Mavra', 'Soames', '5 5th Terrace', 'Shawnee Mission', 'KS', '66210', '9137293822');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('206', 'Enrichetta', 'Fairholme', '6 Loomis Trail', 'New York City', 'NY', '10120', '2125540371');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('207', 'Sella', 'Schriren', '9865 Lunder Circle', 'New Orleans', 'LA', '70187', '5048255137');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('208', 'Dorelia', 'Frodsam', '31 Summit Pass', 'Chicago', 'IL', '60619', '3121768282');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('209', 'George', 'Dormand', '10 Everett Trail', 'El Paso', 'TX', '79911', '9159543865');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('210', 'Billy', 'Duester', '6 Graceland Parkway', 'San Angelo', 'TX', '76905', '3258975473');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('211', 'Griffy', 'Tirte', '67 Sage Lane', 'Memphis', 'TN', '38119', '9018396517');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('212', 'Shanie', 'Endersby', '07618 Mariners Cove Court', 'Mansfield', 'OH', '44905', '4194000191');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('213', 'Micky', 'Badsworth', '13202 Pankratz Circle', 'Reading', 'PA', '19610', '6106719495');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('214', 'Shaun', 'Pane', '8151 Canary Terrace', 'Myrtle Beach', 'SC', '29579', '8433416355');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('215', 'Clark', 'Loblie', '0 Spenser Alley', 'Waco', 'TX', '76711', '2549157703');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('216', 'Mark', 'Jenckes', '8 Prentice Center', 'Lake Charles', 'LA', '70616', '3372069988');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('217', 'Meade', 'Littefair', '8 New Castle Road', 'Oklahoma City', 'OK', '73152', '4054309384');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('218', 'Krista', 'Grzegorecki', '24119 Arapahoe Parkway', 'Washington', 'DC', '20051', '2021392804');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('219', 'Goldy', 'Dilrew', '4 Manley Pass', 'Asheville', 'NC', '28815', '8287988134');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('220', 'Clyve', 'Gildersleeve', '9 Ohio Hill', 'Washington', 'DC', '20310', '2025337422');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('221', 'Cosette', 'Gaskins', '67755 Longview Hill', 'Boynton Beach', 'FL', '33436', '5619485821');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('222', 'Sophi', 'McClements', '4638 Independence Way', 'San Diego', 'CA', '92137', '6191826552');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('223', 'Jolee', 'Byars', '399 Farwell Junction', 'Torrance', 'CA', '90505', '3107187477');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('224', 'Krissy', 'Rodders', '9792 Schurz Center', 'Petaluma', 'CA', '94975', '7072559895');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('225', 'Poppy', 'Baggs', '76652 American Ash Pass', 'Tuscaloosa', 'AL', '35487', '2052366699');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('226', 'Hildegaard', 'Oliver-Paull', '62 Green Ridge Alley', 'Inglewood', 'CA', '90305', '3109328141');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('227', 'Granger', 'Breawood', '173 Bunting Trail', 'Tulsa', 'OK', '74133', '9188735252');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('228', 'Giralda', 'McQuilkin', '837 New Castle Street', 'Atlanta', 'GA', '30392', '4045556704');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('229', 'Flossi', 'Audiss', '3934 Mesta Drive', 'Richmond', 'VA', '23237', '8041086813');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('230', 'Papagena', 'Daubney', '105 Steensland Way', 'El Paso', 'TX', '88574', '9159556227');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('231', 'Olin', 'Madle', '3 Bayside Center', 'Dallas', 'TX', '75342', '2149867575');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('232', 'Kiley', 'Ledgeway', '764 Farragut Park', 'Portland', 'OR', '97206', '5037690750');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('233', 'Ursulina', 'Gumey', '6 Coleman Way', 'Saint Paul', 'MN', '55108', '6123762843');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('234', 'Issi', 'Kennedy', '74 Petterle Circle', 'Dayton', 'OH', '45490', '9372807059');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('235', 'Frankie', 'Leate', '07068 Farmco Junction', 'Conroe', 'TX', '77305', '9363162489');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('236', 'Pansie', 'Strewther', '7 Loeprich Terrace', 'Gary', 'IN', '46406', '2197288181');
